gid,seas,wk,day,v,h,stad,temp,humd,wspd,wdir,cond,surf,ou,sprv,ptsv,ptsh
846,2003,5,SUN,MIN,ATL,Georgia Dome,,,,,Dome,AstroTurf,43,-4,39,26
847,2003,5,SUN,CIN,BUF,Ralph Wilson Stadium,51,49,15,SW,Mostly Sunny,AstroPlay,40,8,16,22
848,2003,5,SUN,NO,CAR,Ericsson Stadium,71,43,9,N,Mostly Sunny,Grass,37.5,6.5,13,19
849,2003,5,SUN,OAK,CHI,Soldier Field,58,59,8,E,Mostly Sunny,Grass,42.5,-4,21,24
850,2003,5,SUN,ARI,DAL,Texas Stadium,70,90,8,W,Cloudy,AstroTurf,37,7,7,24
851,2003,5,SUN,SEA,GB,Lambeau Field,48,49,5,N,Mostly Sunny,Grass,45.5,2,13,35
852,2003,5,SUN,SD,JAC,Alltel Stadium,84,47,5,NE,Clear,Grass,42,3,21,27
853,2003,5,SUN,DEN,KC,Arrowhead Stadium,69,60,8,W,Clear,Grass,45.5,3,23,24
854,2003,5,SUN,TEN,NE,Gillette Stadium,53,61,8,W,Sunny,Grass,40.5,-1,30,38
855,2003,5,SUN,MIA,NYG,Giants Stadium,55,58,13,WNW,Partly Cloudy,FieldTurf,37.5,0,23,10
856,2003,5,SUN,WAS,PHI,Lincoln Financial Field,63,39,12,WNW,Partly Cloudy,Grass,39,5.5,25,27
857,2003,5,SUN,DET,SF,3COM Park,66,70,6,N,Sunny,Grass,41,7,17,24
858,2003,5,SN,CLE,PIT,Heinz Field,51,59,3,NW,Fair,Grass,42,7,33,13
859,2003,5,MN,IND,TB,Raymond James Stadium,82,60,,,Rain,Grass,37,4,38,35
860,2003,6,SUN,BAL,ARI,Sun Devil Stadium,96,23,6,E,,Grass,37,-5.5,26,18
861,2003,6,SUN,OAK,CLE,Cleveland Browns Stadium,62,0,14,W,Cloudy,Grass,44,3,7,13
862,2003,6,SUN,PHI,DAL,Texas Stadium,70,68,7,N,Cloudy,AstroTurf,37.5,1,21,23
863,2003,6,SUN,PIT,DEN,Invesco Field at Mile High,73,10,5,S,Sunny,Grass,44.5,6.5,14,17
864,2003,6,SUN,KC,GB,Lambeau Field,60,57,17,W,Sunny,Grass,48,1.5,40,34
865,2003,6,SUN,CAR,IND,RCA Dome,,,,,Dome,AstroTurf,38,5,23,20
866,2003,6,SUN,MIA,JAC,Alltel Stadium,75,87,13,E,Chance Rain,Grass,38,-3,24,10
867,2003,6,SUN,NYG,NE,Gillette Stadium,55,94,13,NE,Rain,Grass,41,3,6,17
868,2003,6,SUN,CHI,NO,Louisiana Superdome,76,,,,Dome,AstroTurf,42,5.5,13,20
869,2003,6,SUN,BUF,NYJ,The Meadowlands,65,87,5,NE,Cloudy,FieldTurf,37.5,-2.5,3,30
870,2003,6,SUN,HOU,TEN,Adelphia Coliseum,69,78,3,NNW,Mostly Cloudy,Grass,39.5,9.5,17,38
871,2003,6,SUN,TB,WAS,FedEx Field,71,86,7,N,Sunny,Grass,37.5,-3,35,13
872,2003,6,SN,SF,SEA,Seahawks Stadium,59,72,16,N,Partly Sunny,FieldTurf,45,3.5,19,20
873,2003,6,MN,ATL,STL,Edward Jones Dome,,,,,Dome,AstroTurf,45.5,11,0,36
874,2003,7,SUN,NO,ATL,Georgia Dome,,,,,Dome,AstroTurf,41,-1.5,45,17
875,2003,7,SUN,WAS,BUF,Ralph Wilson Stadium,44,83,6,N,Mostly Cloudy,AstroPlay,39,3,7,24
876,2003,7,SUN,TEN,CAR,Ericsson Stadium,67,54,3,VAR,Clear,Grass,37.5,1.5,37,17
877,2003,7,SUN,BAL,CIN,Paul Brown Stadium,63,64,3,S,Sunny,Grass,36.5,-2,26,34
878,2003,7,SUN,SD,CLE,Cleveland Browns Stadium,58,50,,,Sunny,Grass,41,5,26,20
879,2003,7,SUN,DAL,DET,Ford Field,74,,,,Dome,FieldTurf,39,-3,38,7
880,2003,7,SUN,NYJ,HOU,Reliant Stadium,,,,,Closed Roof,Grass,37.5,-3,19,14
881,2003,7,SUN,NE,MIA,Pro Player Stadium,84,60,9,E,Mostly Sunny,Grass,37.5,5.5,19,13
882,2003,7,SUN,DEN,MIN,Metrodome,62,,,,Dome,AstroTurf,44,3.5,20,28
883,2003,7,SUN,PHI,NYG,Giants Stadium,51,89,9,N,Cloudy,FieldTurf,37.5,3,14,10
884,2003,7,SUN,TB,SF,3COM Park,65,72,7,NW,Sunny,Grass,39,-3.5,7,24
885,2003,7,SUN,CHI,SEA,Seahawks Stadium,63,84,8,SW,Mostly Sunny,FieldTurf,41.5,11,17,24
886,2003,7,SUN,GB,STL,Edward Jones Dome,,,,,Dome,AstroTurf,49,4,24,34
887,2003,7,MN,KC,OAK,Network Associates Coliseum,75,53,8,NW,Sunny,Grass,47,-3.5,17,10
888,2003,8,SUN,SF,ARI,Sun Devil Stadium,80,17,3,VAR,,Grass,41,-6.5,13,16
889,2003,8,SUN,DEN,BAL,M&T Bank Stadium,67,,15,SW,Chance Rain,MomentumTurf,38,1.5,6,26
890,2003,8,SUN,DET,CHI,Soldier Field,46,70,10,NW,Mostly Cloudy,Grass,37,3,16,24
891,2003,8,SUN,SEA,CIN,Paul Brown Stadium,49,86,5,NE,Chance Rain,Grass,42,-1.5,24,27
892,2003,8,SUN,HOU,IND,RCA Dome,,,,,Dome,AstroTurf,42.5,13,21,30
893,2003,8,SUN,TEN,JAC,Alltel Stadium,80,,10,E,Chance Rain,Grass,44,-3.5,30,17
894,2003,8,SUN,NYG,MIN,Metrodome,58,,,,Dome,AstroTurf,44,5.5,29,17
895,2003,8,SUN,CLE,NE,Gillette Stadium,62,80,19,SSW,Light Rain,Grass,37.5,5,3,9
896,2003,8,SUN,CAR,NO,Louisiana Superdome,78,,,,Dome,AstroTurf,39,2,23,20
897,2003,8,SUN,NYJ,PHI,Lincoln Financial Field,67,81,14,S,Cloudy,Grass,36.5,3,17,24
898,2003,8,SUN,STL,PIT,Heinz Field,59,93,8,S,Light Rain,Grass,46,1.5,33,21
899,2003,8,SUN,DAL,TB,Raymond James Stadium,82,60,8,ESE,Chance Rain,Grass,36.5,6.5,0,16
900,2003,8,SN,BUF,KC,Arrowhead Stadium,45,50,5,SSW,Cloudy,Grass,43.5,6.5,5,38
901,2003,8,MN,MIA,SD,Sun Devil Stadium,79,12,3,VAR,,Grass,37.5,-3,26,10
902,2003,9,SUN,CIN,ARI,Sun Devil Stadium,75,38,9,W,,Grass,39,-3,14,17
903,2003,9,SUN,PHI,ATL,Georgia Dome,73,,,,Dome,FieldTurf,39.5,-4.5,23,16
904,2003,9,SUN,JAC,BAL,M&T Bank Stadium,71,66,,,Sunny,MomentumTurf,37,7,17,24
905,2003,9,SUN,SD,CHI,Soldier Field,57,96,,,Rain,Grass,40,2.5,7,20
906,2003,9,SUN,WAS,DAL,Texas Stadium,79,67,13,S,Cloudy,AstroTurf,38,4,14,21
907,2003,9,SUN,OAK,DET,Ford Field,71,,,,Dome,FieldTurf,39,-2.5,13,23
908,2003,9,SUN,CAR,HOU,Reliant Stadium,,,,,Closed Roof,Grass,37,-6.5,10,14
909,2003,9,SUN,IND,MIA,Pro Player Stadium,82,64,14,NE,Partly Sunny,Grass,39,3,23,17
910,2003,9,SUN,NYG,NYJ,The Meadowlands,66,70,5,S,Clear,FieldTurf,38.5,-2.5,31,28
911,2003,9,SUN,STL,SF,3COM Park,58,55,12,W,Partly Cloudy,Grass,44.5,-4,10,30
912,2003,9,SUN,PIT,SEA,Seahawks Stadium,44,68,8,S,Sunny,FieldTurf,44.5,4.5,16,23
913,2003,9,SUN,NO,TB,Raymond James Stadium,82,62,12,NE,Partly Cloudy,Grass,39,8,17,14
914,2003,9,SN,GB,MIN,Metrodome,,,,,Dome,AstroTurf,48.5,4.5,30,27
915,2003,9,MN,NE,DEN,Invesco Field at Mile High,35,0,,,Foggy,Grass,35.5,2.5,30,26
916,2003,10,SUN,TB,CAR,Ericsson Stadium,50,46,13,NW,Sunny,Grass,34,-3,24,27
917,2003,10,SUN,HOU,CIN,Paul Brown Stadium,43,51,7,E,Sunny,Grass,39.5,5,27,34
918,2003,10,SUN,BUF,DAL,Texas Stadium,55,77,8,N,Partly Cloudy,AstroTurf,37,4,6,10
919,2003,10,SUN,CHI,DET,Ford Field,72,,,,Dome,FieldTurf,37.5,2,10,12
920,2003,10,SUN,IND,JAC,Alltel Stadium,62,77,20,NE,,Grass,44.5,-6,23,28
921,2003,10,SUN,CLE,KC,Arrowhead Stadium,45,57,8,SE,Cloudy,Grass,43.5,9.5,20,41
922,2003,10,SUN,ATL,NYG,Giants Stadium,40,32,5,N,Sunny,FieldTurf,41.5,10.5,27,7
923,2003,10,SUN,NYJ,OAK,Network Associates Coliseum,61,75,10,S,Mostly Cloudy,Grass,38,-3,27,24
924,2003,10,SUN,ARI,PIT,Heinz Field,38,38,5,VAR,Fair,Grass,40.5,7,15,28
925,2003,10,SUN,MIN,SD,Qualcomm Stadium,66,57,9,WSW,Partly Cloudy,Grass,43.5,-5.5,28,42
926,2003,10,SUN,MIA,TEN,Adelphia Coliseum,49,50,6,NE,Mostly Sunny,Grass,40,5,7,31
927,2003,10,SUN,SEA,WAS,FedEx Field,42,44,4,NE,Sunny,Grass,40,-3,20,27
928,2003,10,SN,BAL,STL,Edward Jones Dome,,,,,Dome,AstroTurf,43,7,22,33
929,2003,10,MN,PHI,GB,Lambeau Field,39,96,8,S,Rain,Grass,43.5,4.5,17,14
930,2003,11,SUN,HOU,BUF,Ralph Wilson Stadium,47,80,6,S,Cloudy,AstroPlay,37.5,7,12,10
931,2003,11,SUN,WAS,CAR,Ericsson Stadium,63,65,7,SW,Mostly Cloudy,Grass,36.5,6,17,20
932,2003,11,SUN,STL,CHI,Soldier Field,48,93,,,Light Rain,Grass,42,-6,23,21
933,2003,11,SUN,KC,CIN,Paul Brown Stadium,54,96,4,S,Chance Rain,Grass,47,-6,19,24
934,2003,11,SUN,ARI,CLE,Cleveland Browns Stadium,43,89,9,S,Light Rain,Grass,37.5,6,6,44
935,2003,11,SUN,SD,DEN,Invesco Field at Mile High,52,25,6,NE,Mostly Cloudy,Grass,44,8,8,37
936,2003,11,SUN,NYJ,IND,RCA Dome,,,,,Dome,AstroTurf,43,6,31,38
937,2003,11,SUN,BAL,MIA,Pro Player Stadium,79,60,16,E,Mostly Sunny,Grass,33.5,5.5,6,9
938,2003,11,SUN,ATL,NO,Louisiana Superdome,77,,,,Dome,AstroPlay,43.5,8.5,20,23
939,2003,11,SUN,MIN,OAK,Network Associates Coliseum,55,72,6,SW,Mostly Cloudy,Grass,45.5,-4.5,18,28
940,2003,11,SUN,NYG,PHI,Lincoln Financial Field,52,59,6,SSW,Mostly Cloudy,Grass,38,3.5,10,28
941,2003,11,SUN,DET,SEA,Seahawks Stadium,46,93,9,SE,Rain,FieldTurf,40.5,10.5,14,35
942,2003,11,SUN,GB,TB,Raymond James Stadium,80,47,5,S,Partly Cloudy,Grass,40,4,20,13
943,2003,11,SUN,JAC,TEN,Adelphia Coliseum,60,96,6,SW,Light Rain,Grass,45,10,3,10
944,2003,11,SN,DAL,NE,Gillette Stadium,33,64,,,Cloudy,Grass,35,4,0,12
945,2003,11,MN,PIT,SF,3COM Park,57,80,14,W,Partly Cloudy,Grass,41.5,4,14,30
946,2003,12,SUN,STL,ARI,Sun Devil Stadium,58,11,,,Sunny,Grass,43,-7.5,30,27
947,2003,12,SUN,TEN,ATL,Georgia Dome,,,,,Dome,FieldTurf,44,-6.5,38,31
948,2003,12,SUN,SEA,BAL,M&T Bank Stadium,55,80,,,Partly Cloudy,MomentumTurf,36.5,3,41,44
949,2003,12,SUN,IND,BUF,Ralph Wilson Stadium,70,42,21,SSW,Mostly Sunny,AstroPlay,37.5,-3,17,14
950,2003,12,SUN,PIT,CLE,Cleveland Browns Stadium,61,59,17,S,Sunny,Grass,40.5,3,13,6
951,2003,12,SUN,CAR,DAL,Texas Stadium,44,53,13,N,Cloudy,AstroTurf,33,3,20,24
952,2003,12,SUN,CHI,DEN,Invesco Field at Mile High,18,43,8,SE,Sunny,Grass,39.5,10.5,19,10
953,2003,12,SUN,SF,GB,Lambeau Field,38,0,10,NE,Light Rain,Grass,42,4.5,10,20
954,2003,12,SUN,NE,HOU,Reliant Stadium,,,,,Closed Roof,Grass,37,-6,23,20
955,2003,12,SUN,OAK,KC,Arrowhead Stadium,30,76,14,WNW,Cloudy,Grass,45,11,24,27
956,2003,12,SUN,DET,MIN,Metrodome,73,,,,Dome,AstroTurf,47.5,10.5,14,24
957,2003,12,SUN,JAC,NYJ,The Meadowlands,53,73,,,Clear,FieldTurf,42.5,4,10,13
958,2003,12,SUN,NO,PHI,Lincoln Financial Field,56,77,3,E,Mostly Cloudy,Grass,39,5.5,20,33
959,2003,12,SUN,CIN,SD,Qualcomm Stadium,67,49,9,WSW,Sunny,Grass,43,-3,34,27
960,2003,12,SN,WAS,MIA,Pro Player Stadium,74,66,10,E,Clear,Grass,35,6.5,23,24
961,2003,12,MN,NYG,TB,Raymond James Stadium,70,90,,,Chance Rain,Grass,37.5,5.5,13,19
962,2003,13,THU,MIA,DAL,Texas Stadium,60,26,13,N,Partly Cloudy,AstroTurf,34.5,3,40,21
963,2003,13,THU,GB,DET,Ford Field,74,,,,Dome,FieldTurf,44,-6.5,14,22
964,2003,13,SUN,SF,BAL,M&T Bank Stadium,42,51,10,SW,,MomentumTurf,37,3,6,44
965,2003,13,SUN,PHI,CAR,Ericsson Stadium,59,16,12,W,Sunny,Grass,36,1.5,25,16
966,2003,13,SUN,ARI,CHI,Soldier Field,51,42,12,SW,Sunny,Grass,36,4.5,3,28
967,2003,13,SUN,ATL,HOU,Reliant Stadium,,,,,Closed Roof,Grass,40.5,3,13,17
968,2003,13,SUN,NE,IND,RCA Dome,,,,,Dome,AstroTurf,43.5,4,38,34
969,2003,13,SUN,BUF,NYG,Giants Stadium,47,42,16,W,Sunny,FieldTurf,35,3,24,7
970,2003,13,SUN,DEN,OAK,Network Associates Coliseum,55,93,8,N,Light Rain,Grass,42,-3,22,8
971,2003,13,SUN,CIN,PIT,Heinz Field,41,53,14,WSW,Mostly Cloudy,Grass,41.5,3,24,20
972,2003,13,SUN,KC,SD,Qualcomm Stadium,71,48,8,WSW,Sunny,Grass,48.5,-7,28,24
973,2003,13,SUN,CLE,SEA,Seahawks Stadium,42,85,9,NE,Sunny,FieldTurf,41.5,5.5,7,34
974,2003,13,SUN,MIN,STL,Edward Jones Dome,,,,,Dome,AstroTurf,51,6,17,48
975,2003,13,SUN,NO,WAS,FedEx Field,49,51,9,SW,Cloudy,Grass,41,1,24,20
976,2003,13,SN,TB,JAC,Alltel Stadium,46,,,,,Grass,37,-3.5,10,17
977,2003,13,MN,TEN,NYJ,The Meadowlands,37,62,9,NNW,Partly Cloudy,FieldTurf,42,-1,17,24
978,2003,14,SUN,CIN,BAL,M&T Bank Stadium,34,53,20,NW,Mostly Sunny,MomentumTurf,40,3.5,13,31
979,2003,14,SUN,NYJ,BUF,Ralph Wilson Stadium,30,41,12,WNW,Clear,FieldTurf,36,3,6,17
980,2003,14,SUN,KC,DEN,Invesco Field at Mile High,63,23,8,W,Partly Cloudy,Grass,45.5,2.5,27,45
981,2003,14,SUN,SD,DET,Ford Field,72,,,,Dome,FieldTurf,43.5,3,14,7
982,2003,14,SUN,CHI,GB,Lambeau Field,35,78,16,SE,Mostly Cloudy,Grass,39,7,21,34
983,2003,14,SUN,HOU,JAC,Alltel Stadium,56,,7,N,Clear,Grass,39,6,0,27
984,2003,14,SUN,SEA,MIN,Metrodome,66,,,,Dome,AstroTurf,51.5,1.5,7,34
985,2003,14,SUN,MIA,NE,Gillette Stadium,28,69,20,N,Snow,Grass,35.5,3,0,12
986,2003,14,SUN,TB,NO,Louisiana Superdome,49,,,,Dome,AstroPlay,40.5,2,14,7
987,2003,14,SUN,WAS,NYG,Giants Stadium,27,57,15,NNW,Mostly Sunny,FieldTurf,37,3,20,7
988,2003,14,SUN,DAL,PHI,Lincoln Financial Field,30,51,23,NW,Partly Cloudy,Grass,36.5,5.5,10,36
989,2003,14,SUN,OAK,PIT,Heinz Field,30,54,7,WNW,Partly Cloudy,Grass,40.5,5,7,27
990,2003,14,SUN,ARI,SF,3COM Park,58,66,15,W,Chance Rain,Grass,41.5,10,14,50
991,2003,14,SUN,IND,TEN,Adelphia Coliseum,42,70,,,Sunny,Grass,46,3.5,29,27
992,2003,14,SN,CAR,ATL,Georgia Dome,,,,,Dome,FieldTurf,41,-1,14,20
993,2003,14,MN,STL,CLE,Cleveland Browns Stadium,35,62,10,SE,Cloudy,Grass,43,-4,26,20
994,2003,15,SUN,CAR,ARI,Sun Devil Stadium,63,36,4,S,Clear,Grass,38.5,-6.5,20,17
995,2003,15,SUN,MIN,CHI,Soldier Field,33,78,6,W,Cloudy,Grass,40.5,-3,10,13
996,2003,15,SUN,SF,CIN,Paul Brown Stadium,30,92,5,WSW,Light Snow,Grass,41.5,2.5,38,41
997,2003,15,SUN,CLE,DEN,Invesco Field at Mile High,52,37,6,S,Partly Cloudy,Grass,43,10.5,20,23
998,2003,15,SUN,ATL,IND,RCA Dome,,,,,Dome,AstroTurf,48,7.5,7,38
999,2003,15,SUN,DET,KC,Arrowhead Stadium,29,88,12,S,Cloudy,Grass,44.5,14,17,45
1000,2003,15,SUN,JAC,NE,Gillette Stadium,25,50,8,N,Snow,Grass,35,6.5,13,27
1001,2003,15,SUN,PIT,NYJ,The Meadowlands,30,0,15,E,Snow,FieldTurf,39,3,0,6
1002,2003,15,SUN,BAL,OAK,Network Associates Coliseum,55,57,7,S,Sunny,Grass,39.5,-6.5,12,20
1003,2003,15,SUN,GB,SD,Qualcomm Stadium,61,52,8,WSW,Clear,Grass,46,-5,38,21
1004,2003,15,SUN,SEA,STL,Edward Jones Dome,,,,,Dome,AstroTurf,51.5,7,22,27
1005,2003,15,SUN,HOU,TB,Raymond James Stadium,67,93,7,SW,Chance Rain,Grass,37,10.5,3,16
1006,2003,15,SUN,BUF,TEN,Adelphia Coliseum,37,89,10,NNW,Cloudy,Grass,38.5,6,26,28
1007,2003,15,SUN,DAL,WAS,FedEx Field,36,92,13,NE,Rain,Grass,35.5,-1,27,0
1008,2003,15,SN,NYG,NO,Louisiana Superdome,48,,,,Dome,AstroPlay,39,7,7,45
1009,2003,15,MN,PHI,MIA,Pro Player Stadium,70,73,8,NE,Partly Cloudy,Grass,37,2,34,27
1010,2003,16,SAT,KC,MIN,Metrodome,63,,,,Dome,AstroTurf,54.5,-3,20,45
1011,2003,16,SAT,NE,NYJ,The Meadowlands,30,47,12,NNW,Clear,FieldTurf,35,-3,21,16
1012,2003,16,SAT,ATL,TB,Raymond James Stadium,53,29,12,NNW,Clear,Grass,38,7,30,28
1013,2003,16,SUN,MIA,BUF,Ralph Wilson Stadium,35,50,20,SW,Partly Sunny,AstroPlay,34,1.5,20,3
1014,2003,16,SUN,DET,CAR,Ericsson Stadium,42,35,7,SW,Sunny,Grass,37,10,14,20
1015,2003,16,SUN,WAS,CHI,Soldier Field,46,47,22,SW,Sunny,Grass,35,4,24,27
1016,2003,16,SUN,BAL,CLE,Cleveland Browns Stadium,34,67,19,SSW,Sunny,Grass,36,-3,35,0
1017,2003,16,SUN,NYG,DAL,Texas Stadium,57,72,15,S,Partly Cloudy,AstroTurf,35.5,10.5,3,19
1018,2003,16,SUN,TEN,HOU,Reliant Stadium,,,,,Closed Roof,Grass,40,-6,27,24
1019,2003,16,SUN,NO,JAC,Alltel Stadium,52,,9,NE,Clear,Grass,42,1.5,19,20
1020,2003,16,SUN,SF,PHI,Lincoln Financial Field,35,58,16,SW,Clear,Grass,41,7.5,31,28
1021,2003,16,SUN,SD,PIT,Heinz Field,36,43,15,SSW,Fair,Grass,39.5,6,24,40
1022,2003,16,SUN,ARI,SEA,Seahawks Stadium,49,97,3,SE,Cloudy,FieldTurf,43.5,14,10,28
1023,2003,16,SUN,CIN,STL,Edward Jones Dome,57,,,,Dome,AstroTurf,53,6.5,10,27
1024,2003,16,SN,DEN,IND,RCA Dome,,,,,Dome,AstroTurf,48,6.5,31,17
1025,2003,16,MN,GB,OAK,Network Associates Coliseum,54,83,6,NE,Cloudy,Grass,44,-5,41,7
1026,2003,17,SAT,BUF,NE,Gillette Stadium,42,41,10,NNW,Sunny,Grass,34,8,0,31
1027,2003,17,SAT,SEA,SF,3COM Park,49,80,5,NE,Sunny,Grass,44.5,0,24,17
1028,2003,17,SAT,PHI,WAS,FedEx Field,46,39,12,N,Clear,Grass,41,-7,31,7
1029,2003,17,SUN,MIN,ARI,Sun Devil Stadium,51,16,4,S,Clear,Grass,45.5,-7.5,17,18
1030,2003,17,SUN,JAC,ATL,Georgia Dome,,,,,Dome,FieldTurf,44,3,14,21
1031,2003,17,SUN,CLE,CIN,Paul Brown Stadium,56,34,10,S,Sunny,Grass,41,7.5,22,14
1032,2003,17,SUN,STL,DET,Ford Field,74,,,,Dome,FieldTurf,45,-10,20,30
1033,2003,17,SUN,DEN,GB,Lambeau Field,45,89,15,S,Mostly Cloudy,Grass,43,6.5,3,31
1034,2003,17,SUN,IND,HOU,Reliant Stadium,,,,,Closed Roof,Grass,45,-7,20,17
1035,2003,17,SUN,CHI,KC,Arrowhead Stadium,46,42,6,NW,Clear,Grass,45,9.5,3,31
1036,2003,17,SUN,NYJ,MIA,Pro Player Stadium,73,63,10,E,Partly Sunny,Grass,37.5,4,21,23
1037,2003,17,SUN,DAL,NO,Louisiana Superdome,70,,,,Dome,MomentumTurf,38.5,-2,7,13
1038,2003,17,SUN,CAR,NYG,Giants Stadium,50,31,7,SSW,Partly Cloudy,FieldTurf,34,-5,37,24
1039,2003,17,SUN,OAK,SD,Qualcomm Stadium,61,48,8,WSW,Sunny,Grass,46,4,14,21
1040,2003,17,SUN,TB,TEN,Adelphia Coliseum,59,34,16,N,Mostly Cloudy,Grass,41,7,13,33
1041,2003,17,SN,PIT,BAL,M&T Bank Stadium,42,64,5,SSE,,MomentumTurf,38,7.5,10,13
1042,2003,18,SAT,TEN,BAL,M&T Bank Stadium,63,65,9,SW,,MomentumTurf,39.5,-1,20,17
1043,2003,18,SAT,DAL,CAR,Ericsson Stadium,63,81,9,SSW,Partly Cloudy,Grass,34,3,10,29
1044,2003,18,SUN,SEA,GB,Lambeau Field,20,74,14,NNW,Mostly Cloudy,Grass,44,7.5,27,33
1045,2003,18,SUN,DEN,IND,RCA Dome,,,,,Dome,AstroTurf,49,3,10,41
1046,2003,19,SAT,TEN,NE,Gillette Stadium,4,46,10,WNW,Clear,Grass,35,6,14,17
1047,2003,19,SAT,CAR,STL,Edward Jones Dome,,,,,Dome,AstroTurf,45,7,29,23
1048,2003,19,SUN,IND,KC,Arrowhead Stadium,51,51,13,SW,Clear,Grass,51,3,38,31
1049,2003,19,SUN,GB,PHI,Lincoln Financial Field,25,39,13,SW,Clear,Grass,42,5.5,17,20
1050,2003,20,SUN,IND,NE,Gillette Stadium,32,0,2,SSW,Snow,Grass,43,3,14,24
1051,2003,20,SUN,CAR,PHI,Lincoln Financial Field,33,69,19,WNW,Mostly Cloudy,Grass,36.5,4,14,3
1052,2003,21,SB,CAR,NE,Reliant Stadium,,,,,Closed Roof,Grass,37.5,7,29,32
1053,2004,1,THU,IND,NE,Gillette Stadium,73,99,19,SSE,Rain,Grass,44,3,24,27
1054,2004,1,SAT,TEN,MIA,Pro Player Stadium,87,72,7,E,Partly Cloudy,Grass,37,-3,17,7
1055,2004,1,SUN,JAC,BUF,Ralph Wilson Stadium,74,68,12,SW,Sunny,AstroPlay,35,3,13,10
1056,2004,1,SUN,DET,CHI,Soldier Field,79,48,5,VAR,Sunny,Grass,39,3,20,16
1057,2004,1,SUN,BAL,CLE,Cleveland Browns Stadium,72,45,10,VAR,Sunny,Grass,37,-3,3,20
1058,2004,1,SUN,SD,HOU,Reliant Stadium,,,,,Clear,Grass,43,4.5,27,20
1059,2004,1,SUN,DAL,MIN,Metrodome,70,,,,Dome,AstroTurf,44,5,17,35
1060,2004,1,SUN,SEA,NO,Louisiana Superdome,81,,,,Dome,MomentumTurf,45,-2.5,21,7
1061,2004,1,SUN,CIN,NYJ,The Meadowlands,76,77,5,VAR,Clear,FieldTurf,42,4.5,24,31
1062,2004,1,SUN,NYG,PHI,Lincoln Financial Field,78,50,8,S,Partly Cloudy,Grass,42,9,17,31
1063,2004,1,SUN,OAK,PIT,Heinz Field,65,90,5,SE,Hazy,Grass,41.5,4,21,24
1064,2004,1,SUN,ATL,SF,3COM Park,67,72,15,W,Sunny,Grass,44,-3.5,21,19
1065,2004,1,SUN,ARI,STL,Edward Jones Dome,,,,,Dome,AstroTurf,45,10.5,10,17
1066,2004,1,SUN,TB,WAS,FedEx Field,81,68,5,SW,Sunny,Grass,38.5,2,10,16
1067,2004,1,SN,KC,DEN,Invesco Field at Mile High,82,19,15,S,Cloudy,Grass,47.5,3,24,34
1068,2004,1,MN,GB,CAR,Bank of America Stadium,74,58,5,E,Mostly Cloudy,Grass,43.5,3,24,14
1069,2004,2,SUN,NE,ARI,Sun Devil Stadium,89,46,19,S,Partly Cloudy,Grass,41,-8,23,12
1070,2004,2,SUN,STL,ATL,Georgia Dome,,,,,Dome,FieldTurf,46,2.5,17,34
1071,2004,2,SUN,PIT,BAL,M&T Bank Stadium,67,,13,N,Sunny,Grass,35.5,3.5,13,30
1072,2004,2,SUN,CLE,DAL,Texas Stadium,91,36,12,SE,Clear,AstroTurf,39,4.5,12,19
1073,2004,2,SUN,HOU,DET,Ford Field,68,,,,Dome,FieldTurf,43.5,3,16,28
1074,2004,2,SUN,CHI,GB,Lambeau Field,74,41,15,S,Mostly Sunny,Grass,41,8.5,21,10
1075,2004,2,SUN,DEN,JAC,Alltel Stadium,78,59,15,NE,Clear,Grass,39,-3,6,7
1076,2004,2,SUN,CAR,KC,Arrowhead Stadium,80,49,12,S,Clear,Grass,46.5,6,28,17
1077,2004,2,SUN,SF,NO,Louisiana Superdome,75,,,,Dome,MomentumTurf,42,7.5,27,30
1078,2004,2,SUN,WAS,NYG,Giants Stadium,62,50,16,N,Sunny,FieldTurf,41,-3,14,20
1079,2004,2,SUN,BUF,OAK,Network Associates Coliseum,64,65,15,S,Partly Cloudy,Grass,37.5,3.5,10,13
1080,2004,2,SUN,NYJ,SD,Qualcomm Stadium,73,67,9,WSW,Clear,Grass,46,-3,34,28
1081,2004,2,SUN,SEA,TB,Raymond James Stadium,88,46,8,NE,Chance Rain,Grass,37,-3,10,6
1082,2004,2,SUN,IND,TEN,Adelphia Coliseum,71,45,13,ENE,Sunny,Grass,46.5,1,31,17
1083,2004,2,SN,MIA,CIN,Paul Brown Stadium,72,41,9,NE,Clear,FieldTurf,39,5,13,16
1084,2004,2,MN,MIN,PHI,Lincoln Financial Field,61,69,1,NW,Clear,Grass,48.5,3,16,27
1085,2004,3,SUN,ARI,ATL,Georgia Dome,,,,,Dome,FieldTurf,42.5,10,3,6
1086,2004,3,SUN,BAL,CIN,Paul Brown Stadium,65,73,7,E,Sunny,FieldTurf,34.5,-3,23,9
1087,2004,3,SUN,SD,DEN,Invesco Field at Mile High,73,26,7,N,Sunny,Grass,46.5,10,13,23
1088,2004,3,SUN,PHI,DET,Ford Field,68,,,,Dome,FieldTurf,44,-4.5,30,13
1089,2004,3,SUN,GB,IND,RCA Dome,,,,,Dome,AstroTurf,48.5,6,31,45
1090,2004,3,SUN,HOU,KC,Arrowhead Stadium,71,63,3,N,Clear,Grass,47.5,7.5,24,21
1091,2004,3,SUN,PIT,MIA,Pro Player Stadium,79,84,10,SW,Mostly Cloudy,Grass,33,1,13,3
1092,2004,3,SUN,CHI,MIN,Metrodome,64,,,,Dome,AstroTurf,44.5,9,22,27
